time i j heightsForShapeDisplay heightsFromShapeDisplay forceFromShapeDisplay
2.304 0 0 -842150451 60004 112
2.304 0 1 -842150451 -10832 304
2.304 0 2 -842150451 60004 263
2.304 0 3 -842150451 59986 306
2.304 0 4 -842150451 60010 239
2.304 1 0 -842150451 59986 364
2.304 1 1 -842150451 60004 305
2.304 1 2 -842150451 59986 259
2.304 1 3 -842150451 59992 275
2.304 1 4 -842150451 59986 297
2.304 2 0 -842150451 60004 357
2.304 2 1 -842150451 -14030 238
2.304 2 2 -842150451 60006 197
2.304 2 3 -842150451 59986 337
2.304 2 4 -842150451 59992 272
2.304 3 0 -842150451 59980 140
2.304 3 1 -842150451 60004 205
2.304 3 2 -842150451 59986 313
2.304 3 3 -842150451 60004 267
2.304 3 4 -842150451 59980 355
2.304 4 0 -842150451 60004 234
2.304 4 1 -842150451 -10046 286
2.304 4 2 -842150451 84088 231
2.304 4 3 -842150451 59986 438
2.304 4 4 -842150451 59986 37
2.304 5 0 -842150451 59986 339
2.304 5 1 -842150451 60010 189
2.304 5 2 -842150451 59986 361
2.304 5 3 -842150451 59992 209
2.304 5 4 -842150451 59986 341
2.304 6 0 -842150451 54352 514
2.304 6 1 -842150451 -15176 249
2.304 6 2 -842150451 59980 186
2.304 6 3 -842150451 59974 307
2.304 6 4 -842150451 60004 112
2.304 7 0 -842150451 60010 59
2.304 7 1 -842150451 59992 227
2.304 7 2 -842150451 59962 310
2.304 7 3 -842150451 59992 155
2.304 7 4 -842150451 60004 288
2.304 8 0 -842150451 59992 176
2.304 8 1 -842150451 -14726 259
2.304 8 2 -842150451 60004 273
2.304 8 3 -842150451 60016 306
2.304 8 4 -842150451 60004 154
2.304 9 0 -842150451 59962 300
2.304 9 1 -842150451 60010 191
2.304 9 2 -842150451 59974 307
2.304 9 3 -842150451 59992 222
2.304 9 4 -842150451 60016 250
2.336 0 0 60000 60004 112
2.336 0 1 60000 -10832 304
2.336 0 2 60000 60010 260
2.336 0 3 60000 59986 303
2.336 0 4 60000 60010 245
2.336 1 0 60000 59986 365
2.336 1 1 60000 60004 305
2.336 1 2 60000 59986 260
2.336 1 3 60000 59992 274
2.336 1 4 60000 59986 299
2.336 2 0 60000 60004 355
2.336 2 1 60000 -14030 238
2.336 2 2 60000 60012 192
2.336 2 3 60000 59986 337
2.336 2 4 60000 59992 272
2.336 3 0 60000 59986 137
2.336 3 1 60000 60004 201
2.336 3 2 60000 59986 313
2.336 3 3 60000 59998 266
2.336 3 4 60000 59980 355
2.336 4 0 60000 60004 231
2.336 4 1 60000 -10046 286
2.336 4 2 5000 84088 232
2.336 4 3 60000 59986 439
2.336 4 4 60000 59992 43
2.336 5 0 60000 59986 338
2.336 5 1 60000 60010 190
2.336 5 2 60000 59986 361
2.336 5 3 60000 59992 215
2.336 5 4 60000 59986 337
2.336 6 0 60000 62668 518
2.336 6 1 60000 -15176 249
2.336 6 2 60000 59986 189
2.336 6 3 60000 59974 307
2.336 6 4 60000 60004 110
2.336 7 0 60000 60010 62
2.336 7 1 60000 59998 214
2.336 7 2 60000 59962 311
2.336 7 3 60000 59986 164
2.336 7 4 60000 60004 284
2.336 8 0 60000 59992 180
2.336 8 1 60000 -14726 259
2.336 8 2 60000 60004 268
2.336 8 3 60000 60022 306
2.336 8 4 60000 60004 150
2.336 9 0 60000 59962 303
2.336 9 1 60000 59998 187
2.336 9 2 60000 59974 309
2.336 9 3 60000 59992 223
2.336 9 4 60000 60022 250
2.379 0 0 60000 60010 122
2.379 0 1 60000 -10832 304
2.379 0 2 60000 60004 258
2.379 0 3 60000 59986 302
2.379 0 4 60000 60010 242
2.379 1 0 60000 59986 361
2.379 1 1 60000 60010 306
2.379 1 2 60000 59986 261
2.379 1 3 60000 59992 275
2.379 1 4 60000 59986 299
2.379 2 0 60000 60004 361
2.379 2 1 60000 -14030 238
2.379 2 2 60000 60012 188
2.379 2 3 60000 59986 335
2.379 2 4 60000 59992 274
2.379 3 0 60000 59980 144
2.379 3 1 60000 60004 196
2.379 3 2 60000 59986 313
2.379 3 3 60000 59998 271
2.379 3 4 60000 59986 354
2.379 4 0 60000 60004 233
2.379 4 1 60000 -10046 286
2.379 4 2 5000 74758 830
2.379 4 3 60000 59986 439
2.379 4 4 60000 59992 31
2.379 5 0 60000 59986 340
2.379 5 1 60000 60004 203
2.379 5 2 60000 59986 362
2.379 5 3 60000 59992 214
2.379 5 4 60000 59986 340
2.379 6 0 60000 57640 426
2.379 6 1 60000 -15176 249
2.379 6 2 60000 59980 194
2.379 6 3 60000 59968 304
2.379 6 4 60000 60010 118
2.379 7 0 60000 60010 62
2.379 7 1 60000 59998 217
2.379 7 2 60000 59968 312
2.379 7 3 60000 59992 167
2.379 7 4 60000 60004 292
2.379 8 0 60000 59986 180
2.379 8 1 60000 -14726 259
2.379 8 2 60000 60004 271
2.379 8 3 60000 60016 306
2.379 8 4 60000 60004 150
2.379 9 0 60000 59962 305
2.379 9 1 60000 60010 193
2.379 9 2 60000 59974 309
2.379 9 3 60000 59992 228
2.379 9 4 60000 60022 244
2.395 0 0 60000 60010 130
2.395 0 1 60000 -10832 304
2.395 0 2 60000 60004 258
2.395 0 3 60000 59986 303
2.395 0 4 60000 60010 244
2.395 1 0 60000 59986 359
2.395 1 1 60000 60010 305
2.395 1 2 60000 59980 261
2.395 1 3 60000 59986 273
2.395 1 4 60000 59986 301
2.395 2 0 60000 60004 359
