time i j heightsForShapeDisplay heightsFromShapeDisplay forceFromShapeDisplay
2.22 0 0 -842150451 0 0
2.22 0 1 -842150451 0 0
2.22 0 2 -842150451 0 0
2.22 0 3 -842150451 0 0
2.22 0 4 -842150451 0 0
2.22 1 0 -842150451 0 0
2.22 1 1 -842150451 0 0
2.22 1 2 -842150451 0 0
2.22 1 3 -842150451 0 0
2.22 1 4 -842150451 0 0
2.22 2 0 -842150451 0 0
2.22 2 1 -842150451 0 0
2.22 2 2 -842150451 0 0
2.22 2 3 -842150451 0 0
2.22 2 4 -842150451 0 0
2.22 3 0 -842150451 0 0
2.22 3 1 -842150451 0 0
2.22 3 2 -842150451 0 0
2.22 3 3 -842150451 0 0
2.22 3 4 -842150451 0 0
2.22 4 0 -842150451 0 0
2.22 4 1 -842150451 0 0
2.22 4 2 -842150451 0 0
2.22 4 3 -842150451 0 0
2.22 4 4 -842150451 0 0
2.22 5 0 -842150451 0 0
2.22 5 1 -842150451 0 0
2.22 5 2 -842150451 0 0
2.22 5 3 -842150451 0 0
2.22 5 4 -842150451 0 0
2.22 6 0 -842150451 0 0
2.22 6 1 -842150451 0 0
2.22 6 2 -842150451 0 0
2.22 6 3 -842150451 0 0
2.22 6 4 -842150451 0 0
2.22 7 0 -842150451 0 0
2.22 7 1 -842150451 0 0
2.22 7 2 -842150451 0 0
2.22 7 3 -842150451 0 0
2.22 7 4 -842150451 0 0
2.22 8 0 -842150451 0 0
2.22 8 1 -842150451 0 0
2.22 8 2 -842150451 0 0
2.22 8 3 -842150451 0 0
2.22 8 4 -842150451 0 0
2.22 9 0 -842150451 0 0
2.22 9 1 -842150451 0 0
2.22 9 2 -842150451 0 0
2.22 9 3 -842150451 0 0
2.22 9 4 -842150451 0 0
2.251 0 0 20000 60004 117
2.251 0 1 20000 -10832 304
2.251 0 2 20000 60010 264
2.251 0 3 20000 59986 301
2.251 0 4 20000 60010 246
2.251 1 0 20000 59986 364
2.251 1 1 20000 60010 294
2.251 1 2 20000 59986 259
2.251 1 3 20000 59992 275
2.251 1 4 20000 59986 299
2.251 2 0 20000 60004 367
2.251 2 1 20000 -14030 238
2.251 2 2 20000 60000 190
2.251 2 3 20000 59980 338
2.251 2 4 20000 59992 277
2.251 3 0 20000 59980 139
2.251 3 1 20000 60010 193
2.251 3 2 20000 59986 320
2.251 3 3 20000 60010 302
2.251 3 4 20000 59980 357
2.251 4 0 20000 60004 225
2.251 4 1 20000 -10046 286
2.251 4 2 5000 -6788 44
2.251 4 3 20000 59986 390
2.251 4 4 20000 59992 31
2.251 5 0 20000 59986 341
2.251 5 1 20000 60004 180
2.251 5 2 20000 59986 362
2.251 5 3 20000 59992 212
2.251 5 4 20000 59986 340
2.251 6 0 20000 64234 432
2.251 6 1 20000 -15176 249
2.251 6 2 20000 59986 190
2.251 6 3 20000 59968 308
2.251 6 4 20000 60004 121
2.251 7 0 20000 60016 89
2.251 7 1 20000 59992 210
2.251 7 2 20000 59968 315
2.251 7 3 20000 59992 157
2.251 7 4 20000 60004 290
2.251 8 0 20000 59992 181
2.251 8 1 20000 -14726 259
2.251 8 2 20000 60010 273
2.251 8 3 20000 60022 304
2.251 8 4 20000 60010 154
2.251 9 0 20000 59968 306
2.251 9 1 20000 60004 195
2.251 9 2 20000 59968 309
2.251 9 3 20000 59992 226
2.251 9 4 20000 60022 243
2.291 0 0 20000 60004 129
2.291 0 1 20000 -10832 304
2.291 0 2 20000 60010 259
2.291 0 3 20000 59980 299
2.291 0 4 20000 59998 244
2.291 1 0 20000 59986 364
2.291 1 1 20000 60004 293
2.291 1 2 20000 59986 260
2.291 1 3 20000 59992 275
2.291 1 4 20000 59980 299
2.291 2 0 20000 60004 368
2.291 2 1 20000 -14030 238
2.291 2 2 20000 60006 188
2.291 2 3 20000 59986 336
2.291 2 4 20000 59992 278
2.291 3 0 20000 59986 143
2.291 3 1 20000 60010 199
2.291 3 2 20000 59986 315
2.291 3 3 20000 60004 296
2.291 3 4 20000 59986 356
2.291 4 0 20000 60010 227
2.291 4 1 20000 -10046 286
2.291 4 2 5000 -6794 45
2.291 4 3 20000 59986 395
2.291 4 4 20000 59992 38
2.291 5 0 20000 59986 342
2.291 5 1 20000 60004 190
2.291 5 2 20000 59986 363
2.291 5 3 20000 59992 213
2.291 5 4 20000 59980 336
2.291 6 0 20000 54970 404
2.291 6 1 20000 -15176 249
2.291 6 2 20000 59980 197
2.291 6 3 20000 59974 309
2.291 6 4 20000 60010 125
2.291 7 0 20000 60010 96
2.291 7 1 20000 59998 214
2.291 7 2 20000 59968 313
2.291 7 3 20000 59992 162
2.291 7 4 20000 60004 287
2.291 8 0 20000 59992 180
2.291 8 1 20000 -14726 259
2.291 8 2 20000 60004 270
2.291 8 3 20000 60016 306
2.291 8 4 20000 60010 157
2.291 9 0 20000 59968 307
2.291 9 1 20000 60004 193
2.291 9 2 20000 59974 307
2.291 9 3 20000 59992 227
2.291 9 4 20000 60010 240
2.306 0 0 20000 50458 907
2.306 0 1 20000 -10832 304
2.306 0 2 20000 49234 906
2.306 0 3 20000 59938 310
2.306 0 4 20000 49210 758
2.306 1 0 20000 52462 1028
2.306 1 1 20000 60010 293
2.306 1 2 20000 51448 884
2.306 1 3 20000 50314 880
2.306 1 4 20000 52564 1007
2.306 2 0 20000 52486 902
2.306 2 1 20000 -14030 238
2.306 2 2 20000 49572 804
2.306 2 3 20000 59938 344
2.306 2 4 20000 50926 890
2.306 3 0 20000 48628 486
2.306 3 1 20000 59974 195
2.306 3 2 20000 52774 841
2.306 3 3 20000 49954 952
2.306 3 4 20000 52930 996
2.306 4 0 20000 52396 682
2.306 4 1 20000 -10046 286
2.306 4 2 5000 -5498 322
2.306 4 3 20000 59950 406
2.306 4 4 20000 51676 701
2.306 5 0 20000 52066 906
2.306 5 1 20000 59992 194
2.306 5 2 20000 52762 844
2.306 5 3 20000 51784 823
2.306 5 4 20000 53248 957
2.306 6 0 20000 51910 623
2.306 6 1 20000 -15176 249
2.306 6 2 20000 51148 745
2.306 6 3 20000 59932 339
2.306 6 4 20000 52792 785
2.306 7 0 20000 54628 795
2.306 7 1 20000 59992 212
2.306 7 2 20000 57040 391
2.306 7 3 20000 49684 659
2.306 7 4 20000 57028 517
2.306 8 0 20000 51502 734
2.306 8 1 20000 -14726 259
2.306 8 2 20000 50902 878
2.306 8 3 20000 59956 313
2.306 8 4 20000 51886 671
2.306 9 0 20000 57340 455
2.306 9 1 20000 59974 191
2.306 9 2 20000 56668 529
