time i j heightsForShapeDisplay heightsFromShapeDisplay forceFromShapeDisplay
2.306 9 3 20000 51832 722
2.306 9 4 20000 55804 503
2.323 0 0 20000 28162 994
2.323 0 1 20000 -10832 304
2.323 0 2 20000 27118 982
2.323 0 3 20000 52996 1049
2.323 0 4 20000 27910 1033
2.323 1 0 20000 37642 823
2.323 1 1 20000 49330 920
2.323 1 2 20000 36976 937
2.323 1 3 20000 28276 1134
2.323 1 4 20000 37168 982
2.323 2 0 20000 33808 930
2.323 2 1 20000 -14030 238
2.323 2 2 20000 28296 1143
2.323 2 3 20000 53584 985
2.323 2 4 20000 33178 920
2.323 3 0 20000 37192 281
2.323 3 1 20000 50404 839
2.323 3 2 20000 38158 1050
2.323 3 3 20000 27958 1036
2.323 3 4 20000 38314 898
2.323 4 0 20000 29500 883
2.323 4 1 20000 -10046 286
2.323 4 2 5000 2152 572
2.323 4 3 20000 54250 1026
2.323 4 4 20000 28108 774
2.323 5 0 20000 37978 908
2.323 5 1 20000 51106 735
2.323 5 2 20000 38278 1063
2.323 5 3 20000 27778 831
2.323 5 4 20000 38548 882
2.323 6 0 20000 41452 580
2.323 6 1 20000 -15176 249
2.323 6 2 20000 26854 744
2.323 6 3 20000 57220 663
2.323 6 4 20000 30694 901
2.323 7 0 20000 36376 971
2.323 7 1 20000 51652 745
2.323 7 2 20000 46948 447
2.323 7 3 20000 23536 734
2.323 7 4 20000 45340 730
2.323 8 0 20000 27934 1010
2.323 8 1 20000 -14726 259
2.323 8 2 20000 26398 926
2.323 8 3 20000 57190 593
2.323 8 4 20000 27076 974
2.323 9 0 20000 47944 523
2.323 9 1 20000 51454 734
2.323 9 2 20000 43546 617
2.323 9 3 20000 29086 859
2.323 9 4 20000 38902 744
2.34 0 0 20000 23884 1053
2.34 0 1 20000 -10832 304
2.34 0 2 20000 23170 954
2.34 0 3 20000 37594 928
2.34 0 4 20000 23416 865
2.34 1 0 20000 30076 865
2.34 1 1 20000 27916 970
2.34 1 2 20000 30388 642
2.34 1 3 20000 23416 1047
2.34 1 4 20000 30562 1075
2.34 2 0 20000 27082 747
2.34 2 1 20000 -14030 238
2.34 2 2 20000 23322 931
2.34 2 3 20000 38620 898
2.34 2 4 20000 26122 613
2.34 3 0 20000 29962 262
2.34 3 1 20000 28552 1149
2.34 3 2 20000 31198 829
2.34 3 3 20000 23110 899
2.34 3 4 20000 30820 988
2.34 4 0 20000 18562 1075
2.34 4 1 20000 -10046 286
2.34 4 2 5000 6082 636
2.34 4 3 20000 39274 950
2.34 4 4 20000 16462 1204
2.34 5 0 20000 30520 769
2.34 5 1 20000 26146 775
2.34 5 2 20000 31108 739
2.34 5 3 20000 16654 1255
2.34 5 4 20000 31096 1009
2.34 6 0 20000 26176 458
2.34 6 1 20000 -15176 249
2.34 6 2 20000 18850 1226
2.34 6 3 20000 45466 900
2.34 6 4 20000 18922 1073
2.34 7 0 20000 19366 1124
2.34 7 1 20000 28078 832
2.34 7 2 20000 36520 358
2.34 7 3 20000 18784 919
2.34 7 4 20000 29236 659
2.34 8 0 20000 23914 1315
2.34 8 1 20000 -14726 259
2.34 8 2 20000 22252 1316
2.34 8 3 20000 44962 841
2.34 8 4 20000 21574 1311
2.34 9 0 20000 36694 434
2.34 9 1 20000 27580 960
2.34 9 2 20000 29908 574
2.34 9 3 20000 23392 923
2.34 9 4 20000 23842 1035
2.357 0 0 20000 20566 986
2.357 0 1 20000 -10832 304
2.357 0 2 20000 21088 684
2.357 0 3 20000 30568 1341
2.357 0 4 20000 21316 864
2.357 1 0 20000 26656 857
2.357 1 1 20000 23416 968
2.357 1 2 20000 26326 908
2.357 1 3 20000 21334 710
2.357 1 4 20000 26872 834
2.357 2 0 20000 22972 572
2.357 2 1 20000 -14030 238
2.357 2 2 20000 21450 840
2.357 2 3 20000 31096 1305
2.357 2 4 20000 23122 512
2.357 3 0 20000 26092 192
2.357 3 1 20000 23614 1143
2.357 3 2 20000 26698 1020
2.357 3 3 20000 21298 861
2.357 3 4 20000 27160 733
2.357 4 0 20000 21208 1115
2.357 4 1 20000 -10046 286
2.357 4 2 5000 5902 521
2.357 4 3 20000 31588 1358
2.357 4 4 20000 20494 1075
2.357 5 0 20000 26818 760
2.357 5 1 20000 11602 1206
2.357 5 2 20000 26770 999
2.357 5 3 20000 20740 1054
2.357 5 4 20000 27106 687
2.357 6 0 20000 9712 506
2.357 6 1 20000 -15176 249
2.357 6 2 20000 20050 854
2.357 6 3 20000 28096 930
2.357 6 4 20000 20488 893
2.357 7 0 20000 15982 1547
2.357 7 1 20000 16084 1094
2.357 7 2 20000 29578 858
2.357 7 3 20000 20452 692
2.357 7 4 20000 22462 1400
2.357 8 0 20000 20788 757
2.357 8 1 20000 -14726 259
2.357 8 2 20000 21580 820
2.357 8 3 20000 27976 812
2.357 8 4 20000 21676 858
2.357 9 0 20000 29170 822
2.357 9 1 20000 20470 1425
2.357 9 2 20000 23422 1274
2.357 9 3 20000 21778 677
2.357 9 4 20000 22828 1406
2.373 0 0 20000 20650 632
2.373 0 1 20000 -10832 304
2.373 0 2 20000 20368 458
2.373 0 3 20000 27376 963
2.373 0 4 20000 20332 490
2.373 1 0 20000 23968 430
2.373 1 1 20000 21160 449
2.373 1 2 20000 23938 575
2.373 1 3 20000 20356 476
2.373 1 4 20000 23890 440
2.373 2 0 20000 21556 469
2.373 2 1 20000 -14030 238
2.373 2 2 20000 20214 615
2.373 2 3 20000 27256 741
2.373 2 4 20000 21280 389
2.373 3 0 20000 23530 149
2.373 3 1 20000 21100 614
2.373 3 2 20000 24208 600
2.373 3 3 20000 20302 469
2.373 3 4 20000 23830 574
2.373 4 0 20000 23242 619
2.373 4 1 20000 -10046 286
2.373 4 2 5000 5890 390
2.373 4 3 20000 27454 765
2.373 4 4 20000 19000 984
2.373 5 0 20000 23836 531
2.373 5 1 20000 19264 1416
2.373 5 2 20000 24076 653
2.373 5 3 20000 18220 1146
2.373 5 4 20000 24040 474
2.373 6 0 20000 3682 708
2.373 6 1 20000 -15176 249
2.373 6 2 20000 19582 658
2.373 6 3 20000 22510 1480
2.373 6 4 20000 19786 618
2.373 7 0 20000 22414 1314
2.373 7 1 20000 19852 1098
2.373 7 2 20000 31180 730
2.373 7 3 20000 20332 420
2.373 7 4 20000 27934 1274
2.373 8 0 20000 20944 572
2.373 8 1 20000 -14726 259
2.373 8 2 20000 20218 438
2.373 8 3 20000 23068 1467
2.373 8 4 20000 20008 526
2.373 9 0 20000 30826 856
2.373 9 1 20000 22480 1075
2.373 9 2 20000 28396 1204
2.373 9 3 20000 20398 442
2.373 9 4 20000 30268 960
2.39 0 0 20000 20056 402
2.39 0 1 20000 -10832 304
2.39 0 2 20000 20008 383
2.39 0 3 20000 23536 626
2.39 0 4 20000 20044 420
2.39 1 0 20000 21952 525
2.39 1 1 20000 20308 271
2.39 1 2 20000 22000 550
2.39 1 3 20000 20062 355
2.39 1 4 20000 22180 525
2.39 2 0 20000 20626 341
2.39 2 1 20000 -14030 238
2.39 2 2 20000 20064 448
2.39 2 3 20000 23836 644
2.39 2 4 20000 20518 224
2.39 3 0 20000 22054 177
2.39 3 1 20000 20344 389
2.39 3 2 20000 22180 624
2.39 3 3 20000 20068 357
2.39 3 4 20000 22354 569
2.39 4 0 20000 21628 500
2.39 4 1 20000 -10046 286
2.39 4 2 5000 5860 319
2.39 4 3 20000 24040 661
2.39 4 4 20000 20644 858
2.39 5 0 20000 22252 519
2.39 5 1 20000 21424 1461
2.39 5 2 20000 22228 659
2.39 5 3 20000 19462 816
2.39 5 4 20000 22306 529
2.39 6 0 20000 6640 650
2.39 6 1 20000 -15176 249
2.39 6 2 20000 19738 508
2.39 6 3 20000 28390 1177
2.39 6 4 20000 19768 466
2.39 7 0 20000 18070 1314
2.39 7 1 20000 19696 773
2.39 7 2 20000 31558 516
2.39 7 3 20000 19822 532
2.39 7 4 20000 30898 870
2.39 8 0 20000 19954 415
2.39 8 1 20000 -14726 259
2.39 8 2 20000 20002 339
2.39 8 3 20000 29056 1147
2.39 8 4 20000 20038 408
2.39 9 0 20000 31636 508
2.39 9 1 20000 19198 848
2.39 9 2 20000 30874 844
2.39 9 3 20000 20014 350
2.39 9 4 20000 26392 945
2.406 0 0 20000 20056 402
2.406 0 1 20000 -10832 304
2.406 0 2 20000 20008 383
2.406 0 3 20000 23536 626
2.406 0 4 20000 20044 420
2.406 1 0 20000 21952 525
2.406 1 1 20000 20308 271
2.406 1 2 20000 22000 550
2.406 1 3 20000 20062 355
2.406 1 4 20000 22180 525
2.406 2 0 20000 20626 341
2.406 2 1 20000 -14030 238
2.406 2 2 20000 20064 448
2.406 2 3 20000 23836 644
2.406 2 4 20000 20518 224
2.406 3 0 20000 22054 177
2.406 3 1 20000 20344 389
2.406 3 2 20000 22180 624
2.406 3 3 20000 20068 357
2.406 3 4 20000 22354 569
2.406 4 0 20000 21628 500
2.406 4 1 20000 -10046 286
2.406 4 2 5000 5860 319
2.406 4 3 20000 24040 661
2.406 4 4 20000 20644 858
2.406 5 0 20000 22252 519
2.406 5 1 20000 21424 1461
2.406 5 2 20000 22228 659
2.406 5 3 20000 19462 816
2.406 5 4 20000 22306 529
2.406 6 0 20000 6640 650
2.406 6 1 20000 -15176 249
2.406 6 2 20000 19738 508
2.406 6 3 20000 28390 1177
2.406 6 4 20000 19768 466
2.406 7 0 20000 18070 1314
2.406 7 1 20000 19696 773
2.406 7 2 20000 31558 516
2.406 7 3 20000 19822 532
2.406 7 4 20000 30898 870
2.406 8 0 20000 19954 415
2.406 8 1 20000 -14726 259
2.406 8 2 20000 20002 339
2.406 8 3 20000 29056 1147
2.406 8 4 20000 20038 408
2.406 9 0 20000 31636 508
2.406 9 1 20000 19198 848
2.406 9 2 20000 30874 844
2.406 9 3 20000 20014 350
2.406 9 4 20000 26392 945
2.423 0 0 20000 20020 290
2.423 0 1 20000 -10832 304
2.423 0 2 20000 20122 286
2.423 0 3 20000 22492 518
2.423 0 4 20000 20104 287
2.423 1 0 20000 21592 361
2.423 1 1 20000 20086 247
2.423 1 2 20000 21520 377
2.423 1 3 20000 20074 254
2.423 1 4 20000 21622 345
2.423 2 0 20000 20284 206
2.423 2 1 20000 -14030 238
2.423 2 2 20000 20118 298
2.423 2 3 20000 22522 539
2.423 2 4 20000 20344 141
2.423 3 0 20000 21250 112
2.423 3 1 20000 20134 387
2.423 3 2 20000 21592 400
2.423 3 3 20000 20074 285
2.423 3 4 20000 21508 367
2.423 4 0 20000 19174 328
2.423 4 1 20000 -10046 286
2.423 4 2 5000 5842 155
2.423 4 3 20000 22564 480
2.423 4 4 20000 20230 470
2.423 5 0 20000 21508 332
2.423 5 1 20000 14800 1406
2.423 5 2 20000 21586 393
2.423 5 3 20000 19954 555
2.423 5 4 20000 21556 361
2.423 6 0 20000 13648 600
2.423 6 1 20000 -15176 249
2.423 6 2 20000 19990 375
2.423 6 3 20000 30262 861
2.423 6 4 20000 19864 417
2.423 7 0 20000 18922 1535
2.423 7 1 20000 20392 851
2.423 7 2 20000 27514 318
2.423 7 3 20000 19930 361
2.423 7 4 20000 25450 611
2.423 8 0 20000 20248 451
2.423 8 1 20000 -14726 259
2.423 8 2 20000 20056 313
2.423 8 3 20000 30220 827
2.423 8 4 20000 20098 291
2.423 9 0 20000 28144 387
2.423 9 1 20000 20608 621
2.423 9 2 20000 24694 562
2.423 9 3 20000 20014 237
2.423 9 4 20000 18862 767
2.44 0 0 20000 20014 218
2.44 0 1 20000 -10832 304
2.44 0 2 20000 19948 214
2.44 0 3 20000 21418 330
2.44 0 4 20000 19966 229
2.44 1 0 20000 20632 316
2.44 1 1 20000 20056 211
2.44 1 2 20000 20644 313
2.44 1 3 20000 20002 206
2.44 1 4 20000 20608 367
2.44 2 0 20000 20152 220
2.44 2 1 20000 -14030 238
2.44 2 2 20000 19962 271
2.44 2 3 20000 21442 337
2.44 2 4 20000 20074 92
2.44 3 0 20000 20716 100
2.44 3 1 20000 20014 243
2.44 3 2 20000 20710 352
2.44 3 3 20000 19990 216
2.44 3 4 20000 20764 394
2.44 4 0 20000 19204 347
2.44 4 1 20000 -10046 286
2.44 4 2 5000 5794 139
2.44 4 3 20000 21550 304
2.44 4 4 20000 20164 292
2.44 5 0 20000 20746 354
2.44 5 1 20000 22726 1339
2.44 5 2 20000 20770 324
2.44 5 3 20000 19984 363
2.44 5 4 20000 20746 381
2.44 6 0 20000 23038 379
2.44 6 1 20000 -15176 249
2.44 6 2 20000 20008 294
2.44 6 3 20000 24736 659
2.44 6 4 20000 19948 355
2.44 7 0 20000 25144 953
2.44 7 1 20000 20446 425
2.44 7 2 20000 23788 350
2.44 7 3 20000 19978 262
2.44 7 4 20000 18892 664
2.44 8 0 20000 19948 339
2.44 8 1 20000 -14726 259
2.44 8 2 20000 20026 265
2.44 8 3 20000 24226 642
2.44 8 4 20000 19942 237
2.44 9 0 20000 23596 378
2.44 9 1 20000 19750 394
2.44 9 2 20000 19042 658
2.44 9 3 20000 20002 199
2.44 9 4 20000 20908 954
2.456 0 0 20000 20008 185
2.456 0 1 20000 -10832 304
2.456 0 2 20000 20026 224
2.456 0 3 20000 20692 356
2.456 0 4 20000 20008 232
2.456 1 0 20000 20494 360
2.456 1 1 20000 19996 185
2.456 1 2 20000 20506 309
2.456 1 3 20000 20008 176
2.456 1 4 20000 20590 364
2.456 2 0 20000 20026 189
2.456 2 1 20000 -14030 238
2.456 2 2 20000 20022 260
2.456 2 3 20000 20818 387
2.456 2 4 20000 20044 47
2.456 3 0 20000 20434 84
2.456 3 1 20000 19978 253
2.456 3 2 20000 20548 392
2.456 3 3 20000 20002 231
2.456 3 4 20000 20542 328
2.456 4 0 20000 19240 394
2.456 4 1 20000 -10046 286
2.456 4 2 5000 5542 177
2.456 4 3 20000 20824 312
2.456 4 4 20000 20020 182
2.456 5 0 20000 20530 321
2.456 5 1 20000 19066 1113
2.456 5 2 20000 20524 292
2.456 5 3 20000 19996 302
2.456 5 4 20000 20560 306
2.456 6 0 20000 24784 476
2.456 6 1 20000 -15176 249
2.456 6 2 20000 20008 264
2.456 6 3 20000 19162 763
2.456 6 4 20000 19984 316
2.456 7 0 20000 24016 795
2.456 7 1 20000 20176 301
2.456 7 2 20000 22654 479
2.456 7 3 20000 19996 243
2.456 7 4 20000 20860 945
2.456 8 0 20000 19972 373
2.456 8 1 20000 -14726 259
2.456 8 2 20000 20008 258
2.456 8 3 20000 19294 661
2.456 8 4 20000 20002 245
2.456 9 0 20000 22282 517
2.456 9 1 20000 20074 371
2.456 9 2 20000 21184 934
2.456 9 3 20000 19996 188
2.456 9 4 20000 19186 798
2.473 0 0 20000 20008 163
2.473 0 1 20000 -10832 304
2.473 0 2 20000 20008 220
2.473 0 3 20000 20554 294
2.473 0 4 20000 20014 201
2.473 1 0 20000 20302 308
2.473 1 1 20000 19990 186
2.473 1 2 20000 20254 293
2.473 1 3 20000 19996 178
2.473 1 4 20000 20272 316
2.473 2 0 20000 20014 174
2.473 2 1 20000 -14030 238
2.473 2 2 20000 20010 245
2.473 2 3 20000 20524 300
2.473 2 4 20000 20020 32
2.473 3 0 20000 20266 77
2.473 3 1 20000 20002 243
2.473 3 2 20000 20266 364
2.473 3 3 20000 20002 233
2.473 3 4 20000 20308 331
2.473 4 0 20000 19630 461
2.473 4 1 20000 -10046 286
2.473 4 2 5000 5206 191
2.473 4 3 20000 20560 215
2.473 4 4 20000 20008 137
2.473 5 0 20000 20284 322
2.473 5 1 20000 21478 1240
2.473 5 2 20000 20296 255
2.473 5 3 20000 19996 272
2.473 5 4 20000 20302 316
2.473 6 0 20000 17068 410
2.473 6 1 20000 -15176 249
2.473 6 2 20000 20008 248
2.473 6 3 20000 20896 984
2.473 6 4 20000 19990 282
2.473 7 0 20000 19144 521
2.473 7 1 20000 19996 112
2.473 7 2 20000 23080 426
2.473 7 3 20000 19990 220
2.473 7 4 20000 18406 1036
2.473 8 0 20000 20050 216
2.473 8 1 20000 -14726 259
2.473 8 2 20000 20008 236
2.473 8 3 20000 20710 787
2.473 8 4 20000 20002 218
2.473 9 0 20000 23152 474
2.473 9 1 20000 20008 234
2.473 9 2 20000 19234 972
2.473 9 3 20000 20002 176
2.473 9 4 20000 20452 734
2.49 0 0 20000 20008 153
2.49 0 1 20000 -10832 304
2.49 0 2 20000 20008 223
2.49 0 3 20000 20116 250
2.49 0 4 20000 20002 202
2.49 1 0 20000 20074 307
2.49 1 1 20000 19990 203
2.49 1 2 20000 20056 313
2.49 1 3 20000 19984 189
2.49 1 4 20000 20074 340
2.49 2 0 20000 19996 150
2.49 2 1 20000 -14030 238
2.49 2 2 20000 19998 239
2.49 2 3 20000 20122 300
2.49 2 4 20000 19990 26
2.49 3 0 20000 20080 82
2.49 3 1 20000 19984 246
2.49 3 2 20000 20080 383
2.49 3 3 20000 20002 233
2.49 3 4 20000 20098 315
2.49 4 0 20000 20092 415
2.49 4 1 20000 -10046 286
2.49 4 2 5000 5014 127
2.49 4 3 20000 20116 245
2.49 4 4 20000 20008 143
2.49 5 0 20000 20080 326
2.49 5 1 20000 23734 676
2.49 5 2 20000 20074 241
2.49 5 3 20000 20002 245
2.49 5 4 20000 20086 315
2.49 6 0 20000 14086 631
2.49 6 1 20000 -15176 249
2.49 6 2 20000 20008 254
2.49 6 3 20000 20896 992
2.49 6 4 20000 19990 226
2.49 7 0 20000 19768 778
2.49 7 1 20000 19996 76
2.49 7 2 20000 21838 277
2.49 7 3 20000 19996 223
2.49 7 4 20000 19006 1142
2.49 8 0 20000 19966 230
2.49 8 1 20000 -14726 259
2.49 8 2 20000 20008 231
2.49 8 3 20000 19282 923
2.49 8 4 20000 19984 233
2.49 9 0 20000 22102 243
2.49 9 1 20000 19972 228
2.49 9 2 20000 25294 854
2.49 9 3 20000 20008 172
2.49 9 4 20000 19936 408
2.506 0 0 20000 20014 161
2.506 0 1 20000 -10832 304
2.506 0 2 20000 20008 199
2.506 0 3 20000 20074 244
2.506 0 4 20000 20008 177
2.506 1 0 20000 20032 276
2.506 1 1 20000 19990 212
2.506 1 2 20000 20032 282
2.506 1 3 20000 19990 189
2.506 1 4 20000 20002 339
2.506 2 0 20000 19990 145
2.506 2 1 20000 -14030 238
2.506 2 2 20000 19986 208
2.506 2 3 20000 20104 287
2.506 2 4 20000 19984 34
2.506 3 0 20000 20038 78
2.506 3 1 20000 20026 228
2.506 3 2 20000 20038 333
2.506 3 3 20000 20002 229
2.506 3 4 20000 20014 301
2.506 4 0 20000 20086 388
2.506 4 1 20000 -10046 286
2.506 4 2 5000 5014 123
2.506 4 3 20000 20086 252
2.506 4 4 20000 20008 161
2.506 5 0 20000 20020 286
2.506 5 1 20000 19600 423
2.506 5 2 20000 20050 228
2.506 5 3 20000 19996 219
2.506 5 4 20000 20014 284
2.506 6 0 20000 21082 506
2.506 6 1 20000 -15176 249
2.506 6 2 20000 20014 234
2.506 6 3 20000 19276 753
2.506 6 4 20000 19990 213
2.506 7 0 20000 18988 798
2.506 7 1 20000 19996 37
2.506 7 2 20000 21040 323
2.506 7 3 20000 19990 198
2.506 7 4 20000 19618 1433
2.506 8 0 20000 20056 231
2.506 8 1 20000 -14726 259
2.506 8 2 20000 20008 231
2.506 8 3 20000 21454 837
2.506 8 4 20000 20026 225
2.506 9 0 20000 21100 281
2.506 9 1 20000 20050 223
2.506 9 2 20000 25360 809
2.506 9 3 20000 20008 163
2.506 9 4 20000 19942 334
2.523 0 0 20000 20008 159
2.523 0 1 20000 -10832 304
2.523 0 2 20000 19996 218
2.523 0 3 20000 20008 254
2.523 0 4 20000 19996 203
2.523 1 0 20000 20032 306
2.523 1 1 20000 19996 214
2.523 1 2 20000 20026 314
2.523 1 3 20000 19990 187
2.523 1 4 20000 20056 351
2.523 2 0 20000 19990 126
2.523 2 1 20000 -14030 238
2.523 2 2 20000 20004 247
2.523 2 3 20000 20014 298
2.523 2 4 20000 19990 67
2.523 3 0 20000 20026 85
2.523 3 1 20000 19948 231
2.523 3 2 20000 20032 388
2.523 3 3 20000 20002 228
2.523 3 4 20000 20050 297
2.523 4 0 20000 20080 372
2.523 4 1 20000 -10046 286
2.523 4 2 5000 5008 89
2.523 4 3 20000 20020 255
2.523 4 4 20000 20014 181
2.523 5 0 20000 20050 307
2.523 5 1 20000 20920 800
2.523 5 2 20000 20014 255
2.523 5 3 20000 19996 226
2.523 5 4 20000 20044 305
2.523 6 0 20000 25474 399
2.523 6 1 20000 -15176 249
2.523 6 2 20000 20014 249
2.523 6 3 20000 20602 796
2.523 6 4 20000 19984 205
2.523 7 0 20000 20728 662
2.523 7 1 20000 19990 34
2.523 7 2 20000 20848 354
2.523 7 3 20000 19996 205
2.523 7 4 20000 23860 1064
2.523 8 0 20000 19924 226
2.523 8 1 20000 -14726 259
2.523 8 2 20000 20008 234
2.523 8 3 20000 19810 655
2.523 8 4 20000 19984 232
2.523 9 0 20000 20734 315
2.523 9 1 20000 19936 208
2.523 9 2 20000 19444 544
2.523 9 3 20000 20008 162
2.523 9 4 20000 19984 294
2.539 0 0 20000 20002 155
2.539 0 1 20000 -10832 304
2.539 0 2 20000 20002 211
2.539 0 3 20000 20008 320
2.539 0 4 20000 20002 187
2.539 1 0 20000 20014 283
2.539 1 1 20000 19996 209
