time i j heightsForShapeDisplay heightsFromShapeDisplay forceFromShapeDisplay
2.459 0 0 -842150451 -2 228
2.459 0 1 -842150451 -10670 315
2.459 0 2 -842150451 -13064 186
2.459 0 3 -842150451 -9698 292
2.459 0 4 -842150451 -11972 189
2.459 1 0 -842150451 -12602 321
2.459 1 1 -842150451 -13706 179
2.459 1 2 -842150451 -11186 241
2.459 1 3 -842150451 -15296 199
2.459 1 4 -842150451 -10736 309
2.459 2 0 -842150451 4 24
2.459 2 1 -842150451 -13562 245
2.459 2 2 -842150451 6 215
2.459 2 3 -842150451 -11780 308
2.459 2 4 -842150451 -14744 233
2.459 3 0 -842150451 -3962 89
2.459 3 1 -842150451 -17180 187
2.459 3 2 -842150451 -9686 322
2.459 3 3 -842150451 -14978 40
2.459 3 4 -842150451 -12338 312
2.459 4 0 -842150451 4 264
2.459 4 1 -842150451 -9248 285
2.459 4 2 -842150451 84364 244
2.459 4 3 -842150451 -11354 302
2.459 4 4 -842150451 -16874 165
2.459 5 0 -842150451 -10754 331
2.459 5 1 -842150451 -13898 220
2.459 5 2 -842150451 -12050 330
2.459 5 3 -842150451 -15386 208
2.459 5 4 -842150451 -11420 314
2.459 6 0 -842150451 4 232
2.459 6 1 -842150451 -14264 256
2.459 6 2 -842150451 -15506 243
2.459 6 3 -842150451 -12530 320
2.459 6 4 -842150451 -14966 191
2.459 7 0 -842150451 -13898 171
2.459 7 1 -842150451 -13778 268
2.459 7 2 -842150451 -13478 314
2.459 7 3 -842150451 -17252 210
2.459 7 4 -842150451 -15326 351
2.459 8 0 -842150451 -14 223
2.459 8 1 -842150451 -13568 275
2.459 8 2 -842150451 -14276 209
2.459 8 3 -842150451 -10562 334
2.459 8 4 -842150451 -14186 172
2.459 9 0 -842150451 -9794 298
2.459 9 1 -842150451 -16316 215
2.459 9 2 -842150451 -9050 336
2.459 9 3 -842150451 -14600 227
2.459 9 4 -842150451 -10508 254
2.493 0 0 -842150451 -2 228
2.493 0 1 -842150451 -10664 316
2.493 0 2 -842150451 -13070 180
2.493 0 3 -842150451 -9692 291
2.493 0 4 -842150451 -11972 189
2.493 1 0 -842150451 -12602 321
2.493 1 1 -842150451 -13706 179
2.493 1 2 -842150451 -11192 235
2.493 1 3 -842150451 -15296 208
2.493 1 4 -842150451 -10736 310
2.493 2 0 -842150451 4 24
2.493 2 1 -842150451 -13556 245
2.493 2 2 -842150451 12 220
2.493 2 3 -842150451 -11774 306
2.493 2 4 -842150451 -14744 233
2.493 3 0 -842150451 -3962 89
2.493 3 1 -842150451 -17180 187
2.493 3 2 -842150451 -9686 321
2.493 3 3 -842150451 -14978 43
2.493 3 4 -842150451 -12338 312
2.493 4 0 -842150451 4 264
2.493 4 1 -842150451 -9242 292
2.493 4 2 50000 84364 240
2.493 4 3 -842150451 -11354 298
2.493 4 4 -842150451 -16874 165
2.493 5 0 -842150451 -10754 331
2.493 5 1 -842150451 -13898 220
2.493 5 2 -842150451 -12050 333
2.493 5 3 -842150451 -15392 205
2.493 5 4 -842150451 -11420 316
2.493 6 0 -842150451 4 232
2.493 6 1 -842150451 -14258 255
2.493 6 2 -842150451 -15500 249
2.493 6 3 -842150451 -12530 321
2.493 6 4 -842150451 -14966 191
2.493 7 0 -842150451 -13898 171
2.493 7 1 -842150451 -13778 268
2.493 7 2 -842150451 -13472 315
2.493 7 3 -842150451 -17252 220
2.493 7 4 -842150451 -15332 345
2.493 8 0 -842150451 -14 223
2.493 8 1 -842150451 -13562 275
2.493 8 2 -842150451 -14270 212
2.493 8 3 -842150451 -10556 334
2.493 8 4 -842150451 -14186 172
2.493 9 0 -842150451 -9794 298
2.493 9 1 -842150451 -16316 215
2.493 9 2 -842150451 -9050 335
2.493 9 3 -842150451 -14618 226
2.493 9 4 -842150451 -10508 252
2.538 0 0 -842150451 -2 228
2.538 0 1 -842150451 -10664 314
2.538 0 2 -842150451 -13070 184
2.538 0 3 -842150451 -9692 296
2.538 0 4 -842150451 -11972 189
2.538 1 0 -842150451 -12602 321
2.538 1 1 -842150451 -13706 179
2.538 1 2 -842150451 -11186 228
2.538 1 3 -842150451 -15296 210
2.538 1 4 -842150451 -10742 311
2.538 2 0 -842150451 4 24
2.538 2 1 -842150451 -13562 250
2.538 2 2 -842150451 6 213
2.538 2 3 -842150451 -11774 309
2.538 2 4 -842150451 -14744 233
2.538 3 0 -842150451 -3962 89
2.538 3 1 -842150451 -17180 187
2.538 3 2 -842150451 -9686 325
2.538 3 3 -842150451 -14984 47
2.538 3 4 -842150451 -12344 309
2.538 4 0 -842150451 4 264
2.538 4 1 -842150451 -9248 290
2.538 4 2 50000 84364 245
2.538 4 3 -842150451 -11360 302
2.538 4 4 -842150451 -16874 165
2.538 5 0 -842150451 -10754 331
2.538 5 1 -842150451 -13898 220
2.538 5 2 -842150451 -12050 332
2.538 5 3 -842150451 -15392 201
2.538 5 4 -842150451 -11414 317
2.538 6 0 -842150451 4 232
2.538 6 1 -842150451 -14258 250
2.538 6 2 -842150451 -15506 244
2.538 6 3 -842150451 -12530 318
2.538 6 4 -842150451 -14966 191
