time i j heightsForShapeDisplay heightsFromShapeDisplay forceFromShapeDisplay
2.528 0 0 -842150451 0 0
2.528 0 1 -842150451 0 0
2.528 0 2 -842150451 0 0
2.528 0 3 -842150451 0 0
2.528 0 4 -842150451 0 0
2.528 1 0 -842150451 0 0
2.528 1 1 -842150451 0 0
2.528 1 2 -842150451 0 0
2.528 1 3 -842150451 0 0
2.528 1 4 -842150451 0 0
2.528 2 0 -842150451 0 0
2.528 2 1 -842150451 0 0
2.528 2 2 -842150451 0 0
2.528 2 3 -842150451 0 0
2.528 2 4 -842150451 0 0
2.528 3 0 -842150451 0 0
2.528 3 1 -842150451 0 0
2.528 3 2 -842150451 0 0
2.528 3 3 -842150451 0 0
2.528 3 4 -842150451 0 0
2.528 4 0 -842150451 0 0
2.528 4 1 -842150451 0 0
2.528 4 2 -842150451 0 0
2.528 4 3 -842150451 0 0
2.528 4 4 -842150451 0 0
2.528 5 0 -842150451 0 0
2.528 5 1 -842150451 0 0
2.528 5 2 -842150451 0 0
2.528 5 3 -842150451 0 0
2.528 5 4 -842150451 0 0
2.528 6 0 -842150451 0 0
2.528 6 1 -842150451 0 0
2.528 6 2 -842150451 0 0
2.528 6 3 -842150451 0 0
2.528 6 4 -842150451 0 0
2.528 7 0 -842150451 0 0
2.528 7 1 -842150451 0 0
2.528 7 2 -842150451 0 0
2.528 7 3 -842150451 0 0
2.528 7 4 -842150451 0 0
2.528 8 0 -842150451 0 0
2.528 8 1 -842150451 0 0
2.528 8 2 -842150451 0 0
2.528 8 3 -842150451 0 0
2.528 8 4 -842150451 0 0
2.528 9 0 -842150451 0 0
2.528 9 1 -842150451 0 0
2.528 9 2 -842150451 0 0
2.528 9 3 -842150451 0 0
2.528 9 4 -842150451 0 0
2.559 0 0 -842150451 -2 228
2.559 0 1 -842150451 -10670 310
2.559 0 2 -842150451 -13058 193
2.559 0 3 -842150451 -9692 288
2.559 0 4 -842150451 -11972 189
2.559 1 0 -842150451 -12602 321
2.559 1 1 -842150451 -13706 179
2.559 1 2 -842150451 -11186 241
2.559 1 3 -842150451 -15296 208
2.559 1 4 -842150451 -10742 311
2.559 2 0 -842150451 4 24
2.559 2 1 -842150451 -13562 248
2.559 2 2 -842150451 6 219
2.559 2 3 -842150451 -11780 306
2.559 2 4 -842150451 -14744 233
2.559 3 0 -842150451 -3962 89
2.559 3 1 -842150451 -17180 187
2.559 3 2 -842150451 -9680 327
2.559 3 3 -842150451 -14978 44
2.559 3 4 -842150451 -12338 311
2.559 4 0 -842150451 4 264
2.559 4 1 -842150451 -9248 294
2.559 4 2 50000 50008 189
2.559 4 3 -842150451 -11360 312
2.559 4 4 -842150451 -16874 165
2.559 5 0 -842150451 -10754 331
2.559 5 1 -842150451 -13898 220
2.559 5 2 -842150451 -12050 372
2.559 5 3 -842150451 -15392 200
2.559 5 4 -842150451 -11414 316
2.559 6 0 -842150451 4 232
2.559 6 1 -842150451 -14264 252
2.559 6 2 -842150451 -15500 254
2.559 6 3 -842150451 -12530 317
2.559 6 4 -842150451 -14966 191
2.559 7 0 -842150451 -13898 171
2.559 7 1 -842150451 -13778 268
2.559 7 2 -842150451 -13478 313
2.559 7 3 -842150451 -17252 233
2.559 7 4 -842150451 -15332 344
2.559 8 0 -842150451 -14 223
2.559 8 1 -842150451 -13568 275
2.559 8 2 -842150451 -14264 229
2.559 8 3 -842150451 -10562 330
2.559 8 4 -842150451 -14186 172
2.559 9 0 -842150451 -9794 298
2.559 9 1 -842150451 -16316 215
2.559 9 2 -842150451 -9044 332
2.559 9 3 -842150451 -14606 235
2.559 9 4 -842150451 -10508 255
2.602 0 0 -842150451 -2 228
2.602 0 1 -842150451 -10670 312
2.602 0 2 -842150451 -13046 185
2.602 0 3 -842150451 -9698 287
2.602 0 4 -842150451 -11972 189
2.602 1 0 -842150451 -12602 321
2.602 1 1 -842150451 -13706 179
2.602 1 2 -842150451 -11192 242
2.602 1 3 -842150451 -15296 208
2.602 1 4 -842150451 -10742 311
2.602 2 0 -842150451 4 24
2.602 2 1 -842150451 -13562 246
2.602 2 2 -842150451 12 222
2.602 2 3 -842150451 -11780 310
2.602 2 4 -842150451 -14744 233
2.602 3 0 -842150451 -3962 89
2.602 3 1 -842150451 -17180 187
2.602 3 2 -842150451 -9686 326
2.602 3 3 -842150451 -14978 46
2.602 3 4 -842150451 -12338 311
2.602 4 0 -842150451 4 264
2.602 4 1 -842150451 -9242 297
2.602 4 2 50000 50014 187
2.602 4 3 -842150451 -11360 310
2.602 4 4 -842150451 -16874 165
2.602 5 0 -842150451 -10754 331
2.602 5 1 -842150451 -13898 220
2.602 5 2 -842150451 -12050 369
2.602 5 3 -842150451 -15392 208
2.602 5 4 -842150451 -11414 316
2.602 6 0 -842150451 4 232
2.602 6 1 -842150451 -14264 252
2.602 6 2 -842150451 -15500 256
2.602 6 3 -842150451 -12530 318
2.602 6 4 -842150451 -14966 191
2.602 7 0 -842150451 -13898 171
2.602 7 1 -842150451 -13778 268
2.602 7 2 -842150451 -13478 315
2.602 7 3 -842150451 -17246 242
2.602 7 4 -842150451 -15332 344
2.602 8 0 -842150451 -14 223
2.602 8 1 -842150451 -13562 275
2.602 8 2 -842150451 -14264 230
2.602 8 3 -842150451 -10556 332
2.602 8 4 -842150451 -14186 172
2.602 9 0 -842150451 -9794 298
2.602 9 1 -842150451 -16316 215
2.602 9 2 -842150451 -9044 333
2.602 9 3 -842150451 -14606 238
2.602 9 4 -842150451 -10508 255
2.616 0 0 -842150451 -2 228
2.616 0 1 -842150451 -10670 312
2.616 0 2 -842150451 -13046 185
2.616 0 3 -842150451 -9698 287
2.616 0 4 -842150451 -11972 189
2.616 1 0 -842150451 -12602 321
2.616 1 1 -842150451 -13706 179
2.616 1 2 -842150451 -11192 242
2.616 1 3 -842150451 -15296 208
2.616 1 4 -842150451 -10742 311
2.616 2 0 -842150451 4 24
2.616 2 1 -842150451 -13562 246
2.616 2 2 -842150451 12 222
2.616 2 3 -842150451 -11780 310
2.616 2 4 -842150451 -14744 233
2.616 3 0 -842150451 -3962 89
2.616 3 1 -842150451 -17180 187
2.616 3 2 -842150451 -9686 326
2.616 3 3 -842150451 -14978 46
2.616 3 4 -842150451 -12338 311
2.616 4 0 -842150451 4 264
2.616 4 1 -842150451 -9242 297
2.616 4 2 50000 50014 187
2.616 4 3 -842150451 -11360 310
2.616 4 4 -842150451 -16874 165
2.616 5 0 -842150451 -10754 331
2.616 5 1 -842150451 -13898 220
2.616 5 2 -842150451 -12050 369
2.616 5 3 -842150451 -15392 208
2.616 5 4 -842150451 -11414 316
2.616 6 0 -842150451 4 232
2.616 6 1 -842150451 -14264 252
2.616 6 2 -842150451 -15500 256
2.616 6 3 -842150451 -12530 318
2.616 6 4 -842150451 -14966 191
2.616 7 0 -842150451 -13898 171
2.616 7 1 -842150451 -13778 268
2.616 7 2 -842150451 -13478 315
2.616 7 3 -842150451 -17246 242
2.616 7 4 -842150451 -15332 344
2.616 8 0 -842150451 -14 223
2.616 8 1 -842150451 -13562 275
2.616 8 2 -842150451 -14264 230
2.616 8 3 -842150451 -10556 332
2.616 8 4 -842150451 -14186 172
2.616 9 0 -842150451 -9794 298
2.616 9 1 -842150451 -16316 215
2.616 9 2 -842150451 -9044 333
2.616 9 3 -842150451 -14606 238
2.616 9 4 -842150451 -10508 255
2.634 0 0 -842150451 -2 228
2.634 0 1 -842150451 -10664 312
2.634 0 2 -842150451 -13046 187
2.634 0 3 -842150451 -9698 287
2.634 0 4 -842150451 -11972 189
2.634 1 0 -842150451 -12602 321
2.634 1 1 -842150451 -13706 179
2.634 1 2 -842150451 -11192 242
